Month,Year,Region,Dengue_Cases,Dengue_Deaths,Island,Date
January,2016,Region I,705,1,Luzon,2016-01-01
February,2016,Region I,374,0,Luzon,2016-02-01
March,2016,Region I,276,0,Luzon,2016-03-01
April,2016,Region I,240,2,Luzon,2016-04-01
May,2016,Region I,243,1,Luzon,2016-05-01
June,2016,Region I,345,1,Luzon,2016-06-01
July,2016,Region I,1295,2,Luzon,2016-07-01
August,2016,Region I,1598,3,Luzon,2016-08-01
September,2016,Region I,1415,3,Luzon,2016-09-01
October,2016,Region I,1000,6,Luzon,2016-10-01
November,2016,Region I,555,1,Luzon,2016-11-01
December,2016,Region I,235,1,Luzon,2016-12-01
January,2017,Region I,285,0,Luzon,2017-01-01
February,2017,Region I,202,2,Luzon,2017-02-01
March,2017,Region I,151,1,Luzon,2017-03-01
April,2017,Region I,174,1,Luzon,2017-04-01
May,2017,Region I,179,0,Luzon,2017-05-01
June,2017,Region I,362,2,Luzon,2017-06-01
July,2017,Region I,1032,2,Luzon,2017-07-01
August,2017,Region I,1609,1,Luzon,2017-08-01
September,2017,Region I,1333,3,Luzon,2017-09-01
October,2017,Region I,1159,5,Luzon,2017-10-01
November,2017,Region I,865,3,Luzon,2017-11-01
December,2017,Region I,885,3,Luzon,2017-12-01
January,2018,Region I,699,6,Luzon,2018-01-01
February,2018,Region I,448,3,Luzon,2018-02-01
March,2018,Region I,235,1,Luzon,2018-03-01
April,2018,Region I,325,0,Luzon,2018-04-01
May,2018,Region I,334,0,Luzon,2018-05-01
June,2018,Region I,721,4,Luzon,2018-06-01
July,2018,Region I,3374,13,Luzon,2018-07-01
August,2018,Region I,3266,10,Luzon,2018-08-01
September,2018,Region I,2221,8,Luzon,2018-09-01
October,2018,Region I,1081,1,Luzon,2018-10-01
November,2018,Region I,1285,1,Luzon,2018-11-01
December,2018,Region I,1522,6,Luzon,2018-12-01
January,2019,Region I,596,2,Luzon,2019-01-01
February,2019,Region I,633,1,Luzon,2019-02-01
March,2019,Region I,399,0,Luzon,2019-03-01
April,2019,Region I,183,1,Luzon,2019-04-01
May,2019,Region I,197,1,Luzon,2019-05-01
June,2019,Region I,743,3,Luzon,2019-06-01
July,2019,Region I,2587,9,Luzon,2019-07-01
August,2019,Region I,4178,11,Luzon,2019-08-01
September,2019,Region I,4814,9,Luzon,2019-09-01
October,2019,Region I,2585,3,Luzon,2019-10-01
November,2019,Region I,2133,2,Luzon,2019-11-01
December,2019,Region I,819,0,Luzon,2019-12-01
January,2020,Region I,424,1,Luzon,2020-01-01
February,2020,Region I,442,2,Luzon,2020-02-01
March,2020,Region I,352,5,Luzon,2020-03-01
April,2020,Region I,46,2,Luzon,2020-04-01
May,2020,Region I,87,0,Luzon,2020-05-01
June,2020,Region I,186,2,Luzon,2020-06-01
July,2020,Region I,452,2,Luzon,2020-07-01
August,2020,Region I,1030,0,Luzon,2020-08-01
September,2020,Region I,1052,2,Luzon,2020-09-01
October,2020,Region I,807,1,Luzon,2020-10-01
November,2020,Region I,1212,0,Luzon,2020-11-01
December,2020,Region I,1081,1,Luzon,2020-12-01
January,2016,Region II,659,2,Luzon,2016-01-01
February,2016,Region II,408,2,Luzon,2016-02-01
March,2016,Region II,211,0,Luzon,2016-03-01
April,2016,Region II,138,0,Luzon,2016-04-01
May,2016,Region II,126,0,Luzon,2016-05-01
June,2016,Region II,126,1,Luzon,2016-06-01
July,2016,Region II,390,1,Luzon,2016-07-01
August,2016,Region II,754,0,Luzon,2016-08-01
September,2016,Region II,552,1,Luzon,2016-09-01
October,2016,Region II,292,3,Luzon,2016-10-01
November,2016,Region II,181,1,Luzon,2016-11-01
December,2016,Region II,54,0,Luzon,2016-12-01
January,2017,Region II,265,1,Luzon,2017-01-01
February,2017,Region II,112,1,Luzon,2017-02-01
March,2017,Region II,130,0,Luzon,2017-03-01
April,2017,Region II,112,2,Luzon,2017-04-01
May,2017,Region II,129,1,Luzon,2017-05-01
June,2017,Region II,260,0,Luzon,2017-06-01
July,2017,Region II,639,1,Luzon,2017-07-01
August,2017,Region II,819,7,Luzon,2017-08-01
September,2017,Region II,668,3,Luzon,2017-09-01
October,2017,Region II,990,12,Luzon,2017-10-01
November,2017,Region II,678,4,Luzon,2017-11-01
December,2017,Region II,508,2,Luzon,2017-12-01
January,2018,Region II,418,2,Luzon,2018-01-01
February,2018,Region II,267,0,Luzon,2018-02-01
March,2018,Region II,234,2,Luzon,2018-03-01
April,2018,Region II,238,1,Luzon,2018-04-01
May,2018,Region II,276,0,Luzon,2018-05-01
June,2018,Region II,573,3,Luzon,2018-06-01
July,2018,Region II,1516,4,Luzon,2018-07-01
August,2018,Region II,2518,6,Luzon,2018-08-01
September,2018,Region II,3698,12,Luzon,2018-09-01
October,2018,Region II,2921,10,Luzon,2018-10-01
November,2018,Region II,2522,5,Luzon,2018-11-01
December,2018,Region II,2497,17,Luzon,2018-12-01
January,2019,Region II,1797,18,Luzon,2019-01-01
February,2019,Region II,2136,3,Luzon,2019-02-01
March,2019,Region II,1355,2,Luzon,2019-03-01
April,2019,Region II,429,2,Luzon,2019-04-01
May,2019,Region II,486,3,Luzon,2019-05-01
June,2019,Region II,1171,3,Luzon,2019-06-01
July,2019,Region II,1922,15,Luzon,2019-07-01
August,2019,Region II,2446,12,Luzon,2019-08-01
September,2019,Region II,2152,11,Luzon,2019-09-01
October,2019,Region II,1202,3,Luzon,2019-10-01
