name,lat,lon
Health Center - German Cooperation,10.4545209,119.3667827
Jimenez Medical Clinic,10.3192016,119.3444215
Roxas Baptist Hospital,10.3164784,119.3258505
isla care,10.4079792,119.1779517
"Palawan Medical City, El Nido",11.1762454,119.3912266
Adventist Hospital Palawan Clinic,11.1623686,119.398804
CM San Juan PCF-Infirmary,16.183776,119.8649809
Kidney Dialysis Center,15.7321145,119.9101918
Bogtong Rural Health Station,12.0866852,119.943109
Barangay Health Center,12.185314,119.908307
Medical Specialist Polyclinic,5.0292821,119.7705111
Ilocos Sur Cooperative Medical Mission Group Hospital,17.5618499,120.3841702
Health Center,16.8547721,120.3787269
Montemayor Maternity & Childrens Clinic,16.5314494,120.3948926
Fangonil Internal Medicine and Eye Clinic,16.5313951,120.3948997
Heart and Brain Clinic,16.6019463,120.3178925
Villalon Medical & Maternity Clinic,16.8539144,120.37879
Parish Clinic,16.8538179,120.3766259
Canaoay Health & Wellness Station,16.5937141,120.3023175
Lorma LifeCheck Clinic,16.6065222,120.3176013
Saint Augustine Eye Clinic & Ultrasound Clinic,16.5308868,120.3927929
MEDICAL CLINIC,16.7263763,120.3523244
Alaminos Doctors Hospital,16.1307073,119.9706732
Pangasinan Medical Society,16.0437631,120.3289059
Coquia Dialysis Kidney Center,16.0349462,120.3482906
Siapno Heart and Diabetes Clinic,16.0408711,120.339067
Skin Clinic / Psoriasis Clinic (Dr. Iris Gomez-Oliva),16.0479749,120.3424333
DeVera Cariño Optical and Contact LensClinic,16.0474695,120.3426436
BMC OB-Gyn Clinic,16.0470305,120.3427301
Llamas-Reyes Clinic,16.0390719,120.333757
Pocal-pocal Health Care,16.1474767,119.9958465
JDA Medical & Lying In Clinic,16.1518954,119.9846115
Emergency,16.1652679,119.9858634
Accumed Diagnostic Center,16.1642054,119.9840064
We Care Medical Clinic,16.1642664,119.9840393
Asuncion Internal Medicine,16.1570554,119.9799113
ADH-LENZ,16.1522336,119.979061
Alaminos DOTS Center II,16.1001659,119.966025
Unnamed Facility,16.3921998,120.3574205
ABS OB-GYN Ultrasound Center,16.0452325,120.3408901
Caramat Tuazon Medical Clinic and Birthing Home,16.0442907,120.3419577
RNR OB Gyn Ultrasound,16.0418025,120.3417995
Ramos Clinic,16.0402829,120.3376327
Famous Care Medical Clinic Laboratory & Diagnostic Center,16.040078,120.3371445
Ba-ad Optical Clinic and Laboratory,16.0411258,120.3343222
Julie's Bahay Paanakan,16.0566222,120.3406059
The City Doctors,16.0540181,120.3407246
Mangaldan Diagnostic Center,16.0676603,120.4044264
DMW Children's Clinic,16.0239159,120.3522802
Montemayor Family Medical Clinic & Diagnostic Center,16.0193863,120.3733912
Dr. Manuel Clinic,16.0182429,120.2316016
Nvitus Kidney Care & Dialysis Center,16.0146207,120.2324975
Klinika Diagnostica,16.0389167,120.3465933
proposed hsopital lot location,16.3663122,120.3581834
3K Medical Clinic,16.1447819,119.9900239
Pangasinan Provincial Hospital,15.9544261,120.3488461
Unnamed Facility,15.6198413,120.376702
San Carlos Eye Center,15.9320395,120.3480162
R.M. Palisoc Medical Clinic,15.9255476,120.348617
San Marcelino District Hospital,14.9598564,120.1681459
Subic District Hospital,14.8899612,120.2374663
Subic Medical and Ob-gyne Cline,14.8785566,120.2341683
Bioline Diagnostic laboratory,14.8795913,120.2344536
OB-GYNE,14.8806797,120.2349829
Mangan-vaca Health Center,14.8888028,120.2378273
Meg's Prenatal Clinic,14.8606515,120.2428446
Calapacuan Health Center,14.8593145,120.2446378
Sta. Teresita Clinic,14.8771483,120.2348059
Metro Subic Lying In Clinic,14.9242755,120.2199327
Unihealth-Baypointe Hospital and Medical Center,14.8239665,120.2723215
Multi Speciality Ambulatory,14.8751654,120.2349875
Diabetes Care Center,14.8751421,120.2349908
Clinic,14.879749,120.2338282
SBMA Dispensary,14.821306,120.2766121
Our Lady of Lourdes International Medical Center Inc.,14.8474805,120.2691708
Ilumina,14.8228827,120.2794284
Barangay Pag-asa Health Center,14.8268648,120.2868956
Acosta Skin Clinic,14.8421886,120.2861794
KCSG Healthcare,14.8375876,120.2842624
KCSG Healthcare,14.8329949,120.2853833
Unnamed Facility,14.8301584,120.2869009
Lubang District Hospital,13.8536372,120.10801
Saint Agustine Medical Clinic,11.99789,120.2063352
Malawig Health Center,12.1980626,120.2415492
Unnamed Facility,12.2726617,120.3642343
Free Community Clinic,11.9985338,120.2049426
Languyan Municipal Hospital,5.2698536,120.0783294
Gov. Roque Ablan Sr. Memorial Hospital,18.1994456,120.6017618
RHU,18.5220529,120.8087614
Saint Camillus de Lellis Health Specialists',18.2012124,120.5912753
GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL,18.1995323,120.6012689
F. taylan Dental Care clinic,18.200905,120.5919358
Saint Camilus de Lelis Health Specialists',18.2011119,120.5914485
St Therese Hospital,18.1428831,120.5840089
Gaoat Hospital,18.050052,120.5653316
"P.S. Salom-Saliganan, MD, DPPS",17.7920862,120.4561403
Nueva Era Rural Health Unit,17.9147442,120.6643137
Santo Niño Hospital,17.37301,120.481009
municipal health unit,17.4864368,120.4343592
Judge Celestino Guerrero Memorial Hospital,17.3650633,120.4776963
Vigan City Health Office,17.5749104,120.3869423
Bobila Clinic,17.5978076,120.618725
Bdo Foundation Narvacan Rural Health Unit I,17.4186983,120.4751865
Martinez Hospital,16.8922625,120.4231778
Balili -BHS,16.8744949,120.8203809
Lacasandile Medical Clinic and Diagnostic Center,16.9302451,120.4537019
Ilocos Sur Medical Center,17.1656352,120.4515213
Unnamed Facility,16.7989641,120.8203716
RightLab Clinical Laboratory,16.4429564,120.5925864
UB Satellite Clinic,16.4161516,120.5984044
Children's Clinic,16.4127097,120.5785347
SLU-LHS Charles Peters Clinic,16.415617,120.6095906
School Clinic,16.5019377,120.4755934
Clinic,16.4257084,120.5307082
Health Clinic,16.5002632,120.6335851
D4D Medical Clinic,16.4557021,120.5695403
PHO Conference Room and Supply Area,16.4501054,120.5882041
Northern Benguet District Hospital,16.7871051,120.8162898
